"WorkoutType","WorkoutDescription","ExerciseDescription","Code","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes"
"Run","Hop off bike and go run HARD: -10 x (30sec HARD, 30sec EASY) -5min MOD -5min EASY","Custom","Custom","0.333333333333333","","5/9/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Swim","1 x 400 easy warm-up mix 6 x 50 drill/swim Drill=1 arm on :20 RI 9 x 50 swim on :40 (1st 3 buld, 2nd 3 reverse build, 3rd 3 FAST) 100 EASY 6 x 75 (25 EASY, 25 FAST, 25 EASY) on 1:00 100 EASY 3 x 100 descending on 1:20 1 x 200 easy recovery","Custom","Custom","0.75","2103.1201171875","5/10/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bike","-10 warm up to 95 rpm -5 x (30sec pickups, 30sec EASY) -1min EASY (Z2) @ 100 rpm -30sec @ 105 rpm, 30 sec EASY -30sec @ 110 rpm, 30 sec EASY -30sec @ 115 rpm, 30 sec EASY -30sec @ 120 rpm, 30 sec EASY -5min building to FTP (zone 4) -3min EASY -2min at VO2 watts (zone 5) -10min easy","Custom","Custom","0.666666666666667","","5/10/2016","","","","","","","0.666666666666667","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Run","Hop off bike and go run HARD: -10 x (30sec HARD, 30sec EASY) -5min MOD -5min EASY","Custom","Custom","0.333333333333333","","5/10/2016","","","","","","","0.333333333333333","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Other","","Custom","Custom","","","5/11/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Other","","Custom","Custom","","","5/12/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Swim","Good EASY swim with some pick-ups","Custom","Custom","0.33333","","5/13/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bike","-5 warm up to 95 rpm -5 x (30sec pickups, 30sec EASY) -1min EASY (Z2) @ 100 rpm -30sec @ 105 rpm, 30 sec EASY -30sec @ 110 rpm, 30 sec EASY -30sec @ 115 rpm, 30 sec EASY -30sec @ 120 rpm, 30 sec EASY -5min building to FTP (zone 4) -3min EASY -2min at VO2 watts (zone 5) -5min easy","Custom","Custom","0.5","","5/13/2016","","9917","49","237","98.263"," *06/06/2016 Jamie Brown:   Cyclo-Sphere https://cyclo-sphere.com*","0.536154446072049","5.08300018310547","","34","","","","","","0.41306931113566","8.71","","","","","","","","","","","27","3","2","1","0","0","","","",""
"Run","EASY and end with 4 Pickups","Custom","Custom","0.5","","5/13/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Swim","Good EASY swim with some pick-ups","Custom","Custom","0.33333","","5/14/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
